2020-09-30 | 14:05:55.468 | [] |  WARN | AnnotationConfigServletWebServerApplicationContext | (   559) | Exception encountered during context initialization - cancelling refresh attempt: org.springframework.context.ApplicationContextException: Failed to start bean 'webServerStartStop'; nested exception is org.springframework.boot.web.server.PortInUseException: Port 8080 is already in use
2020-09-30 | 14:05:55.469 | [] |  INFO | ThreadPoolTaskExecutor         | (   218) | Shutting down ExecutorService 'applicationTaskExecutor'
2020-09-30 | 14:05:55.470 | [] |  INFO | StandardService                | (   173) | Stopping service [Tomcat]
2020-09-30 | 14:05:55.481 | [] |  INFO | ConditionEvaluationReportLoggingListener | (   136) | 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-09-30 | 14:05:55.484 | [] | ERROR | LoggingFailureAnalysisReporter | (    40) | 

***************************
APPLICATION FAILED TO START
***************************

Description:

Web server failed to start. Port 8080 was already in use.

Action:

Identify and stop the process that's listening on port 8080 or configure this application to listen on another port.

2020-09-30 | 14:06:06.544 | [] |  INFO | [/api/v1]                      | (   173) | Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-09-30 | 14:06:06.545 | [] |  INFO | DispatcherServlet              | (   525) | Initializing Servlet 'dispatcherServlet'
2020-09-30 | 14:06:06.546 | [] |  INFO | DispatcherServlet              | (   547) | Completed initialization in 1 ms
2020-09-30 | 14:06:06.546 | [] |  INFO | LocalFileService               | (   107) | Try to get all files
2020-09-30 | 14:06:07.364 | [] |  INFO | LocalFileService               | (   107) | Try to get all files
2020-09-30 | 14:06:12.354 | [] |  INFO | StorageAppApplication          | (    55) | Starting StorageAppApplication on DESKTOP-UL9U8E0 with PID 11200 (D:\Programowanie\Bootcamp\PracaDomowaOstatnia\storage-app\target\classes started by Admin in D:\Programowanie\Bootcamp\PracaDomowaOstatnia\storage-app)
2020-09-30 | 14:06:12.357 | [] |  INFO | StorageAppApplication          | (   651) | No active profile set, falling back to default profiles: default
2020-09-30 | 14:06:12.393 | [] |  INFO | DevToolsPropertyDefaultsPostProcessor | (   225) | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-09-30 | 14:06:12.394 | [] |  INFO | DevToolsPropertyDefaultsPostProcessor | (   225) | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
